Campanha,Visualizações,Custo,Reprod. do vídeo até 25%,Reprod. do vídeo até 50%,Reprod. do vídeo até 75%,Reprod. do vídeo até 100%
v1.1 #1 [IMP] [Ideias] [EXTERNOS],411,"5,07","19,56%","10,51%","7,82%","5,38%"
v1.1 #2 [IMP] [Ideias] [EXTERNOS],301,"4,98","26,87%","20,41%","17,35%","12,59%"
v10.0 [IMP] [Principal] [INTERNOS],451,"4,98","3,39%","2,71%","1,81%",0%
v10.1 [IMP] [Ideias] [EXTERNOS],107,"1,46","15,6%","11,93%","8,26%","5,5%"
v10.2 [IMP] [Ideias] [EXTERNOS],0,0,--,--,--,--
v10.6 [IMP] [Ideias] [EXTERNOS],37,"0,52","10,53%","2,63%",0%,0%
